days,go-commits,go-authors,rust-commits,rust-authors,swift-commits,swift-authors
0,2,1,1,1,1,1
1,3,1,1,1,19,1
2,5,1,1,1,41,1
3,6,1,1,1,41,1
4,14,2,1,1,42,1
5,15,2,1,1,56,1
6,15,2,1,1,64,1
7,15,2,3,1,77,1
8,16,2,19,3,88,1
9,22,2,47,3,88,1
10,26,2,47,3,104,1
11,26,2,52,3,106,1
12,26,2,62,3,106,1
13,26,2,72,4,113,1
14,27,2,102,4,115,1
15,28,2,144,4,122,1
16,28,2,176,4,122,1
17,30,2,181,4,129,1
18,30,2,198,4,137,1
19,30,2,205,4,145,1
20,30,2,210,4,145,1
21,30,2,210,4,148,1
22,30,2,221,5,150,1
23,31,2,224,6,150,1
24,34,2,230,8,150,1
25,39,2,234,8,150,1
26,42,3,248,9,150,1
27,44,3,264,10,150,1
28,44,3,269,10,150,1
29,46,3,280,10,150,1
30,47,3,290,11,150,1
31,49,3,294,12,150,1
32,51,3,301,12,150,1
33,51,3,315,13,150,1
34,51,3,330,13,150,1
35,51,3,334,13,150,1
36,51,3,347,13,150,1
37,51,3,359,13,150,1
38,51,3,361,13,150,1
39,51,3,367,13,150,1
40,51,3,375,13,150,1
41,51,3,384,13,150,1
42,51,3,410,13,150,1
43,51,3,413,13,150,1
44,52,3,414,13,150,1
45,52,3,414,13,150,1
46,54,3,414,13,150,1
47,55,3,415,13,150,1
48,55,3,426,13,150,1
49,55,3,435,13,152,1
50,55,3,442,15,152,1
51,55,3,449,15,152,1
52,55,3,450,15,152,1
53,55,3,451,15,152,1
54,55,3,469,15,152,1
55,55,3,473,15,152,1
56,56,3,486,15,152,1
57,57,3,495,15,152,1
58,58,3,497,15,152,1
59,58,3,497,15,152,1
60,64,3,497,15,152,1
61,64,3,502,15,152,1
62,64,3,510,15,152,1
63,64,3,526,15,154,1
64,64,3,533,15,154,1
65,65,3,552,15,154,1
66,67,3,553,15,154,1
67,71,3,553,15,154,1
68,71,3,554,15,154,1
69,71,3,573,15,154,1
70,71,3,584,15,154,1
71,71,3,597,15,154,1
72,71,3,611,15,154,1
73,71,3,612,15,154,1
74,74,3,612,15,154,1
75,74,3,612,15,154,1
76,74,3,618,15,154,1
77,74,3,619,15,154,1
78,74,3,619,15,154,1
79,74,3,623,15,154,1
80,74,3,623,15,154,1
81,74,3,623,15,154,1
82,74,3,624,15,154,1
83,74,3,637,15,154,1
84,74,3,644,15,171,1
85,74,3,647,15,182,1
86,75,3,648,15,185,1
87,75,3,648,15,188,1
88,75,3,649,15,188,1
89,75,3,651,15,188,1
90,75,3,656,15,192,1
91,75,3,665,15,192,1
92,75,3,675,15,196,1
93,75,3,675,15,197,1
94,82,3,675,15,197,1
95,90,3,675,15,197,1
96,119,3,682,16,197,1
97,120,3,691,16,197,1
98,135,3,699,16,197,1
99,138,3,706,16,198,1
100,141,3,709,16,198,1
101,150,3,709,16,198,1
102,163,3,709,16,198,1
103,168,3,713,16,198,1
104,168,3,717,16,198,1
105,171,3,719,16,198,1
106,178,3,721,16,198,1
107,187,3,723,16,198,1
108,199,3,723,16,198,1
109,199,3,723,16,198,1
110,200,3,725,16,198,1
111,204,3,730,16,198,1
112,205,3,732,16,198,1
113,208,3,736,16,198,1
114,220,3,745,16,198,1
115,230,3,749,16,198,1
116,243,3,751,16,198,1
117,256,3,758,16,203,1
118,261,3,764,16,203,1
119,262,3,773,16,203,1
120,267,3,781,16,203,1
121,272,3,782,16,203,1
122,274,3,782,16,203,1
123,286,3,782,16,203,1
124,287,3,793,17,203,1
125,289,3,799,17,203,1
126,290,3,808,18,203,1
127,299,3,818,18,203,1
128,310,3,835,18,203,1
129,321,3,835,18,203,1
130,327,3,835,18,203,1
131,332,3,837,18,207,1
132,338,3,839,18,207,1
133,341,3,841,18,208,1
134,353,3,847,18,208,1
135,365,3,847,18,209,1
136,373,3,847,18,209,1
137,382,3,847,18,209,1
138,388,3,847,18,209,1
139,395,3,850,18,209,1
140,397,3,863,18,209,1
141,401,3,864,18,209,1
142,405,3,879,18,209,1
143,410,3,879,18,209,1
144,416,3,879,18,209,1
145,423,3,881,18,209,1
146,426,3,884,18,209,1
147,431,3,886,18,209,1
148,439,3,886,18,209,1
149,445,3,890,18,209,1
150,452,3,892,18,209,1
151,455,3,897,18,209,1
152,460,3,898,18,209,1
153,463,4,899,18,209,1
154,469,4,899,18,209,1
155,480,4,900,18,209,1
156,487,4,908,18,209,1
157,490,4,912,18,209,1
158,495,4,914,18,209,1
159,500,4,926,18,209,1
160,503,4,928,18,209,1
161,506,4,940,18,209,1
162,522,4,948,18,209,1
163,531,4,953,18,209,1
164,533,4,953,18,209,1
165,533,4,953,18,209,1
166,533,4,962,18,209,1
167,533,4,966,18,209,1
168,533,4,972,18,209,1
169,533,4,987,18,209,1
170,533,4,997,18,209,1
171,536,4,997,18,209,1
172,540,4,997,18,209,1
173,540,4,1002,18,209,1
174,540,4,1007,18,209,1
175,540,4,1015,18,209,1
176,540,4,1031,18,209,1
177,540,4,1045,18,209,1
178,541,4,1049,18,209,1
179,544,4,1056,18,209,1
180,551,4,1063,18,209,1
181,551,4,1070,18,209,1
182,551,4,1080,18,209,1
183,552,4,1092,18,209,1
184,560,4,1099,18,209,1
185,569,4,1099,18,209,1
186,578,4,1099,18,209,1
187,580,4,1111,18,209,1
188,580,4,1117,18,209,1
189,580,4,1121,18,209,1
190,588,4,1123,18,209,1
191,594,4,1129,19,209,1
192,604,5,1129,19,209,1
193,619,5,1129,19,209,1
194,633,5,1129,19,209,1
195,638,5,1129,19,209,1
196,640,5,1135,19,209,1
197,644,5,1144,19,209,1
198,655,5,1157,19,209,1
199,663,5,1159,19,209,1
200,676,5,1159,19,209,1
201,687,5,1173,19,209,1
202,690,5,1181,19,210,1
203,690,5,1184,19,210,1
204,705,5,1188,19,210,1
205,712,5,1202,19,210,1
206,722,5,1205,19,210,1
207,733,5,1205,19,210,1
208,750,5,1210,19,210,1
209,756,5,1215,19,210,1
210,757,5,1220,19,210,1
211,768,5,1223,19,210,1
212,783,5,1230,19,210,1
213,789,5,1230,19,210,1
